year,breakdown,level_description,indicator_value,lower_ci,upper_ci,standardised_ratio,observed,population,percent_unclassified,year_start,financial_year,ci_width,high_uncertainty
2018/19,2019 deprivation decile,1 - most deprived,1611.3,1599.9,1622.7,196.4,76974.0,5554000,0.13,2018,2018/19,22.799999999999955,0
2018/19,2019 deprivation decile,1 - most deprived,419.9,414.1,425.8,204.7,20061.0,5554000,0.1,2018,2018/19,11.699999999999989,0
2018/19,2019 deprivation decile,1 - most deprived,437.3,431.3,443.2,213.2,20888.0,5554000,0.13,2018,2018/19,11.899999999999977,0
2018/19,2019 deprivation decile,1 - most deprived,368.1,362.7,373.6,179.5,17585.0,5554000,0.16,2018,2018/19,10.900000000000034,0
2018/19,2019 deprivation decile,1 - most deprived,386.0,380.5,391.6,188.2,18440.0,5554000,0.12,2018,2018/19,11.100000000000023,0
2018/19,2019 deprivation decile,10 - least deprived,514.8,509.3,520.4,62.7,33406.0,5386900,0.13,2018,2018/19,11.099999999999966,0
2018/19,2019 deprivation decile,10 - least deprived,135.7,132.9,138.6,66.2,8806.0,5386900,0.1,2018,2018/19,5.699999999999989,0
2018/19,2019 deprivation decile,10 - least deprived,137.5,134.7,140.4,67.0,8923.0,5386900,0.13,2018,2018/19,5.700000000000017,0
2018/19,2019 deprivation decile,10 - least deprived,120.2,117.5,122.9,58.6,7799.0,5386900,0.16,2018,2018/19,5.400000000000006,0
2018/19,2019 deprivation decile,10 - least deprived,121.4,118.7,124.1,59.2,7878.0,5386900,0.12,2018,2018/19,5.3999999999999915,0
2018/19,2019 deprivation decile,2,1241.1,1231.3,1250.9,151.3,62236.0,5653700,0.13,2018,2018/19,19.600000000000136,0
2018/19,2019 deprivation decile,2,317.1,312.2,322.0,154.6,15900.0,5653700,0.1,2018,2018/19,9.800000000000011,0
2018/19,2019 deprivation decile,2,335.0,330.0,340.1,163.3,16801.0,5653700,0.13,2018,2018/19,10.100000000000023,0
2018/19,2019 deprivation decile,2,286.8,282.2,291.6,139.8,14384.0,5653700,0.16,2018,2018/19,9.400000000000034,0
2018/19,2019 deprivation decile,2,302.1,297.3,307.0,147.3,15151.0,5653700,0.12,2018,2018/19,9.699999999999989,0
2018/19,2019 deprivation decile,3,1052.6,1043.8,1061.3,128.3,55687.0,5780900,0.13,2018,2018/19,17.5,0
2018/19,2019 deprivation decile,3,276.1,271.7,280.6,134.6,14609.0,5780900,0.1,2018,2018/19,8.900000000000034,0
2018/19,2019 deprivation decile,3,281.7,277.1,286.2,137.3,14901.0,5780900,0.13,2018,2018/19,9.099999999999966,0
2018/19,2019 deprivation decile,3,242.8,238.6,247.0,118.4,12844.0,5780900,0.16,2018,2018/19,8.400000000000006,0
