year,breakdown,level_description,indicator_value,lower_ci,upper_ci,standardised_ratio,observed,population,percent_unclassified,year_start,financial_year,ci_width,high_uncertainty
2003/04,age,0 to 4,576.8,568.1,585.7,128.1,16540.0,2867200,0.0,2003,2003/04,17.600000000000023,0
2003/04,age,0 to 4,148.4,143.9,152.9,131.7,4254.0,2867200,0.0,2003,2003/04,9.0,0
2003/04,age,0 to 4,158.1,153.6,162.8,140.4,4534.0,2867200,0.0,2003,2003/04,9.200000000000017,0
2003/04,age,0 to 4,143.7,139.3,148.1,127.6,4120.0,2867200,0.0,2003,2003/04,8.799999999999983,0
2003/04,age,0 to 4,126.7,122.6,130.9,112.5,3632.0,2867200,0.0,2003,2003/04,8.300000000000011,0
2003/04,age,10 to 14,272.3,266.6,278.0,93.2,8850.0,3250500,0.0,2003,2003/04,11.399999999999977,0
2003/04,age,10 to 14,68.2,65.4,71.1,93.4,2217.0,3250500,0.0,2003,2003/04,5.699999999999989,0
2003/04,age,10 to 14,73.8,70.9,76.8,101.1,2398.0,3250500,0.0,2003,2003/04,5.8999999999999915,0
2003/04,age,10 to 14,66.9,64.1,69.8,91.6,2174.0,3250500,0.0,2003,2003/04,5.700000000000003,0
2003/04,age,10 to 14,63.4,60.7,66.2,86.9,2061.0,3250500,0.0,2003,2003/04,5.5,0
2003/04,age,15 to 18,235.1,229.2,241.2,92.5,6009.0,2553200,0.0,2003,2003/04,12.0,0
2003/04,age,15 to 18,54.2,51.4,57.2,85.3,1386.0,2553200,0.0,2003,2003/04,5.800000000000004,0
2003/04,age,15 to 18,69.1,65.9,72.4,108.7,1766.0,2553200,0.0,2003,2003/04,6.5,0
2003/04,age,15 to 18,59.3,56.4,62.4,93.3,1516.0,2553200,0.0,2003,2003/04,6.0,0
2003/04,age,15 to 18,52.5,49.7,55.4,82.5,1341.0,2553200,0.0,2003,2003/04,5.699999999999996,0
2003/04,age,19 to 24,212.7,208.0,217.4,88.8,7982.0,3747800,0.0,2003,2003/04,9.400000000000006,0
2003/04,age,19 to 24,48.1,46.0,50.4,80.4,1807.0,3747800,0.0,2003,2003/04,4.399999999999999,0
2003/04,age,19 to 24,62.3,59.8,64.9,104.1,2339.0,3747800,0.0,2003,2003/04,5.1000000000000085,0
2003/04,age,19 to 24,54.8,52.4,57.2,91.5,2056.0,3747800,0.0,2003,2003/04,4.800000000000004,0
2003/04,age,19 to 24,47.4,45.2,49.7,79.2,1780.0,3747800,0.0,2003,2003/04,4.5,0
2003/04,age,25 to 29,195.7,190.9,200.7,96.9,6152.0,3144400,0.0,2003,2003/04,9.799999999999983,0
2003/04,age,25 to 29,42.5,40.3,44.8,84.1,1336.0,3144400,0.0,2003,2003/04,4.5,0
2003/04,age,25 to 29,55.1,52.6,57.8,109.1,1733.0,3144400,0.0,2003,2003/04,5.199999999999996,0
2003/04,age,25 to 29,53.4,50.8,56.0,105.6,1677.0,3144400,0.0,2003,2003/04,5.200000000000003,0
2003/04,age,25 to 29,44.7,42.4,47.1,88.5,1406.0,3144400,0.0,2003,2003/04,4.700000000000003,0
2003/04,age,30 to 34,212.9,208.3,217.7,103.7,7949.0,3732700,0.0,2003,2003/04,9.399999999999977,0
2003/04,age,30 to 34,48.5,46.3,50.8,94.4,1810.0,3732700,0.0,2003,2003/04,4.5,0
2003/04,age,30 to 34,61.4,58.9,63.9,119.5,2291.0,3732700,0.0,2003,2003/04,5.0,0
2003/04,age,30 to 34,53.8,51.5,56.2,104.8,2009.0,3732700,0.0,2003,2003/04,4.700000000000003,0
2003/04,age,30 to 34,49.3,47.0,51.6,95.9,1839.0,3732700,0.0,2003,2003/04,4.600000000000001,0
2003/04,age,35 to 39,254.2,249.2,259.2,103.1,10084.0,3967400,0.0,2003,2003/04,10.0,0
2003/04,age,35 to 39,58.3,56.0,60.8,94.6,2314.0,3967400,0.0,2003,2003/04,4.799999999999997,0
2003/04,age,35 to 39,70.1,67.5,72.8,113.8,2782.0,3967400,0.0,2003,2003/04,5.299999999999997,0
2003/04,age,35 to 39,65.4,62.9,68.0,106.2,2596.0,3967400,0.0,2003,2003/04,5.100000000000001,0
2003/04,age,35 to 39,60.3,57.9,62.8,97.8,2392.0,3967400,0.0,2003,2003/04,4.899999999999999,0
2003/04,age,40 to 44,333.4,327.5,339.4,101.2,12270.0,3679200,0.0,2003,2003/04,11.899999999999977,0
2003/04,age,40 to 44,81.5,78.6,84.4,98.9,2998.0,3679200,0.0,2003,2003/04,5.800000000000011,0
2003/04,age,40 to 44,89.2,86.2,92.3,108.3,3282.0,3679200,0.0,2003,2003/04,6.099999999999994,0
2003/04,age,40 to 44,81.1,78.2,84.0,98.5,2984.0,3679200,0.0,2003,2003/04,5.799999999999997,0
2003/04,age,40 to 44,81.7,78.8,84.7,99.2,3006.0,3679200,0.0,2003,2003/04,5.900000000000006,0
2003/04,age,45 to 49,457.1,449.8,464.6,106.0,14729.0,3221400,0.0,2003,2003/04,14.800000000000011,0
2003/04,age,45 to 49,111.9,108.3,115.7,103.8,3607.0,3221400,0.0,2003,2003/04,7.400000000000006,0
2003/04,age,45 to 49,122.1,118.3,126.0,113.2,3934.0,3221400,0.0,2003,2003/04,7.700000000000003,0
2003/04,age,45 to 49,110.8,107.2,114.5,102.8,3571.0,3221400,0.0,2003,2003/04,7.299999999999997,0
2003/04,age,45 to 49,112.3,108.6,116.0,104.1,3617.0,3221400,0.0,2003,2003/04,7.400000000000006,0
2003/04,age,5 to 9,324.0,317.7,330.4,84.4,9984.0,3080800,0.0,2003,2003/04,12.699999999999989,0
2003/04,age,5 to 9,78.2,75.1,81.3,81.4,2408.0,3080800,0.0,2003,2003/04,6.200000000000003,0
2003/04,age,5 to 9,85.0,81.8,88.4,88.6,2620.0,3080800,0.0,2003,2003/04,6.6000000000000085,0
2003/04,age,5 to 9,85.9,82.6,89.2,89.5,2646.0,3080800,0.0,2003,2003/04,6.6000000000000085,0
2003/04,age,5 to 9,75.0,71.9,78.1,78.1,2310.0,3080800,0.0,2003,2003/04,6.199999999999989,0
2003/04,age,50 to 54,617.9,609.2,626.6,106.1,19275.0,3120200,0.0,2003,2003/04,17.399999999999977,0
2003/04,age,50 to 54,147.0,142.8,151.4,101.0,4587.0,3120200,0.0,2003,2003/04,8.599999999999994,0
2003/04,age,50 to 54,163.3,158.8,167.8,112.2,5093.0,3120200,0.0,2003,2003/04,9.0,0
2003/04,age,50 to 54,153.9,149.6,158.3,105.7,4801.0,3120200,0.0,2003,2003/04,8.700000000000017,0
2003/04,age,50 to 54,153.7,149.3,158.1,105.6,4794.0,3120200,0.0,2003,2003/04,8.799999999999983,0
2003/04,age,55 to 59,864.6,854.4,874.8,108.2,27563.0,3187700,0.0,2003,2003/04,20.399999999999977,0
2003/04,age,55 to 59,211.1,206.1,216.2,105.7,6730.0,3187700,0.0,2003,2003/04,10.099999999999994,0
2003/04,age,55 to 59,233.1,227.8,238.5,116.7,7432.0,3187700,0.0,2003,2003/04,10.699999999999989,0
2003/04,age,55 to 59,206.0,201.1,211.1,103.2,6569.0,3187700,0.0,2003,2003/04,10.0,0
2003/04,age,55 to 59,214.3,209.2,219.4,107.3,6832.0,3187700,0.0,2003,2003/04,10.200000000000017,0
2003/04,age,60 to 64,1354.9,1340.3,1369.5,126.5,33114.0,2444000,0.0,2003,2003/04,29.200000000000045,0
2003/04,age,60 to 64,328.5,321.4,335.8,122.7,8029.0,2444000,0.0,2003,2003/04,14.400000000000034,0
2003/04,age,60 to 64,373.5,365.9,381.3,139.5,9129.0,2444000,0.0,2003,2003/04,15.400000000000034,0
2003/04,age,60 to 64,315.8,308.8,322.9,118.0,7718.0,2444000,0.0,2003,2003/04,14.099999999999966,0
2003/04,age,60 to 64,337.1,329.8,344.4,125.9,8238.0,2444000,0.0,2003,2003/04,14.599999999999966,0
2003/04,age,65 to 69,1972.1,1953.6,1990.7,133.4,43391.0,2202500,0.0,2003,2003/04,37.100000000000136,0
2003/04,age,65 to 69,475.9,466.8,485.1,128.7,10470.0,2202500,0.0,2003,2003/04,18.30000000000001,0
2003/04,age,65 to 69,550.8,541.1,560.7,149.0,12120.0,2202500,0.0,2003,2003/04,19.600000000000023,0
2003/04,age,65 to 69,463.2,454.3,472.3,125.3,10192.0,2202500,0.0,2003,2003/04,18.0,0
2003/04,age,65 to 69,482.2,473.0,491.4,130.4,10609.0,2202500,0.0,2003,2003/04,18.399999999999977,0
2003/04,age,70 to 74,2753.9,2730.7,2777.4,122.7,53580.0,1950000,0.0,2003,2003/04,46.70000000000027,0
2003/04,age,70 to 74,656.9,645.5,668.4,117.1,12780.0,1950000,0.0,2003,2003/04,22.899999999999977,0
2003/04,age,70 to 74,752.7,740.6,765.0,134.1,14645.0,1950000,0.0,2003,2003/04,24.399999999999977,0
2003/04,age,70 to 74,647.8,636.6,659.2,115.4,12604.0,1950000,0.0,2003,2003/04,22.600000000000023,0
2003/04,age,70 to 74,696.5,684.8,708.3,124.1,13551.0,1950000,0.0,2003,2003/04,23.5,0
2003/04,age,75 to 79,3784.6,3754.5,3814.8,124.3,60725.0,1611100,0.0,2003,2003/04,60.30000000000018,0
2003/04,age,75 to 79,914.9,900.2,929.8,120.2,14680.0,1611100,0.0,2003,2003/04,29.59999999999991,0
2003/04,age,75 to 79,1030.7,1015.1,1046.5,135.4,16538.0,1611100,0.0,2003,2003/04,31.399999999999977,0
2003/04,age,75 to 79,873.6,859.2,888.2,114.8,14017.0,1611100,0.0,2003,2003/04,29.0,0
