year,breakdown,level_description,indicator_value,lower_ci,upper_ci,standardised_ratio,observed,population,percent_unclassified,year_start,financial_year,ci_width,high_uncertainty
2003/04,condition,acute bronchitis,0.3,0.2,0.3,93.3,128.0,49925500,,2003,2003/04,0.09999999999999998,0
2003/04,condition,acute bronchitis,0.1,0.1,0.1,102.0,35.0,49925500,,2003,2003/04,0.0,0
2003/04,condition,acute bronchitis,0.1,0.1,0.1,128.3,44.0,49925500,,2003,2003/04,0.0,0
2003/04,condition,acute bronchitis,0.0,0.0,0.1,64.1,22.0,49925500,,2003,2003/04,0.1,0
2003/04,condition,acute bronchitis,0.1,0.0,0.1,78.7,27.0,49925500,,2003,2003/04,0.1,0
2003/04,condition,angina pectoris,168.3,167.1,169.4,175.5,79666.0,49925500,,2003,2003/04,2.3000000000000114,0
2003/04,condition,angina pectoris,39.0,38.4,39.5,162.6,18450.0,49925500,,2003,2003/04,1.1000000000000014,0
2003/04,condition,angina pectoris,42.0,41.4,42.6,175.3,19888.0,49925500,,2003,2003/04,1.2000000000000028,0
2003/04,condition,angina pectoris,43.9,43.3,44.5,183.2,20783.0,49925500,,2003,2003/04,1.2000000000000028,0
2003/04,condition,angina pectoris,43.4,42.8,44.0,181.1,20545.0,49925500,,2003,2003/04,1.2000000000000028,0
2003/04,condition,asthma,107.5,106.6,108.4,107.3,53710.0,49925500,,2003,2003/04,1.8000000000000114,0
2003/04,condition,asthma,26.3,25.8,26.7,105.0,13133.0,49925500,,2003,2003/04,0.8999999999999986,0
2003/04,condition,asthma,32.2,31.7,32.7,128.7,16101.0,49925500,,2003,2003/04,1.0000000000000036,0
2003/04,condition,asthma,25.6,25.1,26.0,102.1,12774.0,49925500,,2003,2003/04,0.8999999999999986,0
2003/04,condition,asthma,23.4,23.0,23.8,93.5,11702.0,49925500,,2003,2003/04,0.8000000000000007,0
2003/04,condition,atrial fibrillation and flutter,96.7,95.8,97.6,94.3,46015.0,49925500,,2003,2003/04,1.7999999999999972,0
2003/04,condition,atrial fibrillation and flutter,23.1,22.7,23.6,90.2,11003.0,49925500,,2003,2003/04,0.9000000000000021,0
