year,breakdown,level_description,indicator_value,lower_ci,upper_ci,standardised_ratio,observed,population,percent_unclassified,year_start,financial_year,ci_width,high_uncertainty
2003/04,england,england,930.8,928.1,933.6,113.5,445987.0,49925500,0.0,2003,2003/04,5.5,0
2003/04,england,england,224.9,223.6,226.3,109.7,107777.0,49925500,0.0,2003,2003/04,2.700000000000017,0
2003/04,england,england,254.8,253.4,256.3,124.2,122094.0,49925500,0.0,2003,2003/04,2.9000000000000057,0
2003/04,england,england,221.7,220.4,223.0,108.1,106215.0,49925500,0.0,2003,2003/04,2.5999999999999943,0
2003/04,england,england,229.4,228.0,230.7,111.8,109901.0,49925500,0.0,2003,2003/04,2.6999999999999886,0
2004/05,england,england,937.1,934.4,939.8,114.2,452371.0,50194600,0.0,2004,2004/05,5.399999999999977,0
2004/05,england,england,231.3,229.9,232.6,112.8,111640.0,50194600,0.0,2004,2004/05,2.6999999999999886,0
2004/05,england,england,247.7,246.3,249.2,120.8,119592.0,50194600,0.0,2004,2004/05,2.8999999999999773,0
2004/05,england,england,227.9,226.5,229.2,111.1,110000.0,50194600,0.0,2004,2004/05,2.6999999999999886,0
2004/05,england,england,230.2,228.9,231.6,112.2,111139.0,50194600,0.0,2004,2004/05,2.6999999999999886,0
2005/06,england,england,910.5,907.8,913.1,111.0,444158.0,50606000,0.0,2005,2005/06,5.300000000000068,0
2005/06,england,england,223.0,221.7,224.4,108.7,108803.0,50606000,0.0,2005,2005/06,2.700000000000017,0
2005/06,england,england,238.3,236.9,239.7,116.2,116261.0,50606000,0.0,2005,2005/06,2.799999999999983,0
2005/06,england,england,215.7,214.4,217.0,105.2,105244.0,50606000,0.0,2005,2005/06,2.5999999999999943,0
2005/06,england,england,233.4,232.0,234.7,113.8,113850.0,50606000,0.0,2005,2005/06,2.6999999999999886,0
2006/07,england,england,888.8,886.1,891.4,108.3,438187.0,50965200,0.0,2006,2006/07,5.2999999999999545,0
2006/07,england,england,223.4,222.1,224.7,108.9,110144.0,50965200,0.0,2006,2006/07,2.5999999999999943,0
2006/07,england,england,235.7,234.3,237.0,114.9,116190.0,50965200,0.0,2006,2006/07,2.6999999999999886,0
2006/07,england,england,206.9,205.6,208.2,100.9,102004.0,50965200,0.0,2006,2006/07,2.5999999999999943,0
2006/07,england,england,222.8,221.5,224.1,108.6,109849.0,50965200,0.0,2006,2006/07,2.5999999999999943,0
2007/08,england,england,842.9,840.4,845.5,102.7,420850.0,51381100,0.0,2007,2007/08,5.100000000000023,0
2007/08,england,england,208.2,206.9,209.4,101.5,103932.0,51381100,0.0,2007,2007/08,2.5,0
2007/08,england,england,219.5,218.2,220.8,107.0,109611.0,51381100,0.0,2007,2007/08,2.6000000000000227,0
2007/08,england,england,203.6,202.3,204.8,99.3,101642.0,51381100,0.0,2007,2007/08,2.5,0
