year,breakdown,level_description,indicator_value,lower_ci,upper_ci,standardised_ratio,observed,population,percent_unclassified,year_start,financial_year,ci_width,high_uncertainty
2003/04,gender,female,877.2,873.6,880.9,107.5,220009.0,25497800,,2003,2003/04,7.2999999999999545,0
2003/04,gender,female,210.6,208.9,212.5,103.2,52831.0,25497800,,2003,2003/04,3.5999999999999943,0
2003/04,gender,female,243.7,241.7,245.6,119.4,61113.0,25497800,,2003,2003/04,3.9000000000000057,0
2003/04,gender,female,206.8,205.0,208.6,101.3,51858.0,25497800,,2003,2003/04,3.5999999999999943,0
2003/04,gender,female,216.1,214.3,218.0,105.9,54207.0,25497800,,2003,2003/04,3.6999999999999886,0
2003/04,gender,male,989.4,985.3,993.4,119.9,225978.0,24427700,,2003,2003/04,8.100000000000023,0
2003/04,gender,male,240.6,238.6,242.6,116.7,54946.0,24427700,,2003,2003/04,4.0,0
2003/04,gender,male,267.0,264.9,269.1,129.5,60981.0,24427700,,2003,2003/04,4.2000000000000455,0
2003/04,gender,male,238.0,236.0,240.0,115.4,54357.0,24427700,,2003,2003/04,4.0,0
2003/04,gender,male,243.8,241.8,245.9,118.2,55694.0,24427700,,2003,2003/04,4.099999999999994,0
2004/05,gender,female,880.1,876.5,883.8,107.8,221648.0,25621100,,2004,2004/05,7.2999999999999545,0
2004/05,gender,female,220.0,218.1,221.8,107.8,55398.0,25621100,,2004,2004/05,3.700000000000017,0
2004/05,gender,female,234.6,232.7,236.5,115.0,59079.0,25621100,,2004,2004/05,3.8000000000000114,0
2004/05,gender,female,210.5,208.7,212.3,103.1,53006.0,25621100,,2004,2004/05,3.6000000000000227,0
2004/05,gender,female,215.1,213.3,216.9,105.4,54165.0,25621100,,2004,2004/05,3.5999999999999943,0
2004/05,gender,male,999.0,994.9,1003.1,121.1,230723.0,24573500,,2004,2004/05,8.200000000000045,0
2004/05,gender,male,243.5,241.5,245.5,118.1,56242.0,24573500,,2004,2004/05,4.0,0
2004/05,gender,male,262.0,259.9,264.1,127.1,60513.0,24573500,,2004,2004/05,4.2000000000000455,0
2004/05,gender,male,246.8,244.7,248.8,119.7,56994.0,24573500,,2004,2004/05,4.100000000000023,0
2004/05,gender,male,246.7,244.7,248.7,119.6,56974.0,24573500,,2004,2004/05,4.0,0
2005/06,gender,female,859.8,856.2,863.4,105.3,218110.0,25819400,,2005,2005/06,7.199999999999932,0
2005/06,gender,female,213.2,211.4,215.0,104.5,54072.0,25819400,,2005,2005/06,3.5999999999999943,0
2005/06,gender,female,224.7,222.8,226.5,110.1,56989.0,25819400,,2005,2005/06,3.6999999999999886,0
2005/06,gender,female,202.4,200.7,204.2,99.2,51344.0,25819400,,2005,2005/06,3.5,0
2005/06,gender,female,219.6,217.8,221.4,107.6,55705.0,25819400,,2005,2005/06,3.5999999999999943,0
2005/06,gender,male,965.1,961.1,969.1,117.0,226048.0,24786600,,2005,2005/06,8.0,0
2005/06,gender,male,233.7,231.7,235.6,113.3,54731.0,24786600,,2005,2005/06,3.9000000000000057,0
2005/06,gender,male,253.0,251.0,255.1,122.7,59272.0,24786600,,2005,2005/06,4.099999999999994,0
2005/06,gender,male,230.1,228.2,232.1,111.6,53900.0,24786600,,2005,2005/06,3.9000000000000057,0
2005/06,gender,male,248.2,246.2,250.3,120.4,58145.0,24786600,,2005,2005/06,4.100000000000023,0
2006/07,gender,female,843.1,839.5,846.6,103.3,215440.0,25987500,,2006,2006/07,7.100000000000023,0
