year,breakdown,level_description,indicator_value,lower_ci,upper_ci,standardised_ratio,observed,population,percent_unclassified,year_start,financial_year,ci_width,high_uncertainty
2003/04,region,east midlands,949.7,940.3,959.1,115.7,39247.0,4255100,0.13,2003,2003/04,18.800000000000068,0
2003/04,region,east midlands,230.2,225.6,234.9,112.2,9513.0,4255100,0.14,2003,2003/04,9.300000000000011,0
2003/04,region,east midlands,260.0,255.2,265.0,126.8,10747.0,4255100,0.12,2003,2003/04,9.800000000000011,0
2003/04,region,east midlands,226.3,221.8,231.0,110.3,9353.0,4255100,0.14,2003,2003/04,9.199999999999989,0
2003/04,region,east midlands,233.1,228.5,237.8,113.7,9634.0,4255100,0.11,2003,2003/04,9.300000000000011,0
2003/04,region,east of england,811.2,803.6,818.8,98.9,43960.0,5474100,0.13,2003,2003/04,15.199999999999932,0
2003/04,region,east of england,193.0,189.3,196.7,94.1,10459.0,5474100,0.14,2003,2003/04,7.399999999999977,0
2003/04,region,east of england,215.3,211.4,219.2,105.0,11667.0,5474100,0.12,2003,2003/04,7.799999999999983,0
2003/04,region,east of england,193.5,189.8,197.2,94.3,10485.0,5474100,0.14,2003,2003/04,7.399999999999977,0
2003/04,region,east of england,209.4,205.6,213.3,102.1,11349.0,5474100,0.11,2003,2003/04,7.700000000000017,0
2003/04,region,london,953.9,946.1,961.8,116.3,57173.0,7394800,0.13,2003,2003/04,15.699999999999932,0
2003/04,region,london,233.5,229.6,237.4,113.8,13992.0,7394800,0.14,2003,2003/04,7.800000000000011,0
2003/04,region,london,260.0,255.9,264.1,126.8,15583.0,7394800,0.12,2003,2003/04,8.200000000000017,0
2003/04,region,london,225.6,221.8,229.4,110.0,13520.0,7394800,0.14,2003,2003/04,7.599999999999994,0
2003/04,region,london,234.9,231.0,238.8,114.5,14078.0,7394800,0.11,2003,2003/04,7.800000000000011,0
2003/04,region,north east,1136.8,1123.5,1150.1,138.6,28125.0,2540500,0.13,2003,2003/04,26.59999999999991,0
2003/04,region,north east,267.2,260.8,273.8,130.3,6612.0,2540500,0.14,2003,2003/04,13.0,0
2003/04,region,north east,312.6,305.7,319.6,152.4,7734.0,2540500,0.12,2003,2003/04,13.900000000000034,0
2003/04,region,north east,271.8,265.4,278.4,132.5,6725.0,2540500,0.14,2003,2003/04,13.0,0
2003/04,region,north east,285.1,278.5,291.8,139.0,7054.0,2540500,0.11,2003,2003/04,13.300000000000011,0
2003/04,region,north west,1138.8,1130.7,1147.1,138.8,74454.0,6814700,0.13,2003,2003/04,16.399999999999864,0
2003/04,region,north west,275.4,271.4,279.4,134.3,18003.0,6814700,0.14,2003,2003/04,8.0,0
2003/04,region,north west,319.4,315.0,323.7,155.7,20879.0,6814700,0.12,2003,2003/04,8.699999999999989,0
2003/04,region,north west,270.4,266.4,274.4,131.8,17678.0,6814700,0.14,2003,2003/04,8.0,0
2003/04,region,north west,273.7,269.7,277.7,133.4,17894.0,6814700,0.11,2003,2003/04,8.0,0
2003/04,region,south east,734.2,728.3,740.2,89.5,58755.0,8087900,0.13,2003,2003/04,11.900000000000091,0
2003/04,region,south east,177.7,174.8,180.7,86.6,14222.0,8087900,0.14,2003,2003/04,5.899999999999977,0
2003/04,region,south east,197.7,194.7,200.8,96.4,15823.0,8087900,0.12,2003,2003/04,6.100000000000023,0
2003/04,region,south east,175.0,172.1,177.9,85.3,14006.0,8087900,0.14,2003,2003/04,5.800000000000011,0
2003/04,region,south east,183.7,180.8,186.7,89.6,14704.0,8087900,0.11,2003,2003/04,5.899999999999977,0
2003/04,region,south west,759.1,751.7,766.5,92.5,40761.0,5006700,0.13,2003,2003/04,14.799999999999955,0
2003/04,region,south west,188.8,185.1,192.5,92.0,10136.0,5006700,0.14,2003,2003/04,7.400000000000006,0
2003/04,region,south west,207.7,203.9,211.6,101.3,11154.0,5006700,0.12,2003,2003/04,7.699999999999989,0
2003/04,region,south west,180.3,176.7,183.9,87.9,9680.0,5006700,0.14,2003,2003/04,7.200000000000017,0
2003/04,region,south west,182.3,178.7,186.0,88.9,9791.0,5006700,0.11,2003,2003/04,7.300000000000011,0
2003/04,region,west midlands,941.4,933.0,949.8,114.7,48321.0,5325500,0.13,2003,2003/04,16.799999999999955,0
2003/04,region,west midlands,226.5,222.4,230.7,110.4,11628.0,5325500,0.14,2003,2003/04,8.299999999999983,0
2003/04,region,west midlands,259.1,254.7,263.5,126.3,13298.0,5325500,0.12,2003,2003/04,8.800000000000011,0
2003/04,region,west midlands,222.5,218.4,226.6,108.5,11419.0,5325500,0.14,2003,2003/04,8.199999999999989,0
2003/04,region,west midlands,233.3,229.1,237.5,113.7,11976.0,5325500,0.11,2003,2003/04,8.400000000000006,0
2003/04,region,yorkshire and the humber,1126.0,1116.6,1135.5,137.2,54614.0,5026300,0.13,2003,2003/04,18.90000000000009,0
2003/04,region,yorkshire and the humber,269.3,264.7,274.0,131.3,13063.0,5026300,0.14,2003,2003/04,9.300000000000011,0
2003/04,region,yorkshire and the humber,310.5,305.6,315.5,151.4,15060.0,5026300,0.12,2003,2003/04,9.899999999999977,0
2003/04,region,yorkshire and the humber,272.0,267.4,276.7,132.6,13195.0,5026300,0.14,2003,2003/04,9.300000000000011,0
2003/04,region,yorkshire and the humber,274.1,269.5,278.8,133.6,13296.0,5026300,0.11,2003,2003/04,9.300000000000011,0
2004/05,region,east midlands,948.2,938.9,957.6,115.6,39650.0,4291500,0.13,2004,2004/05,18.700000000000045,0
2004/05,region,east midlands,237.7,233.0,242.4,115.9,9938.0,4291500,0.12,2004,2004/05,9.400000000000006,0
2004/05,region,east midlands,244.5,239.8,249.3,119.2,10224.0,4291500,0.11,2004,2004/05,9.5,0
2004/05,region,east midlands,234.7,230.1,239.4,114.4,9815.0,4291500,0.16,2004,2004/05,9.300000000000011,0
2004/05,region,east midlands,231.3,226.7,236.0,112.8,9673.0,4291500,0.15,2004,2004/05,9.300000000000011,0
2004/05,region,east of england,824.0,816.4,831.6,100.4,45167.0,5508600,0.13,2004,2004/05,15.200000000000045,0
2004/05,region,east of england,203.1,199.3,206.9,99.0,11131.0,5508600,0.12,2004,2004/05,7.599999999999994,0
2004/05,region,east of england,212.4,208.5,216.3,103.5,11642.0,5508600,0.11,2004,2004/05,7.800000000000011,0
2004/05,region,east of england,204.4,200.6,208.2,99.6,11203.0,5508600,0.16,2004,2004/05,7.599999999999994,0
2004/05,region,east of england,204.2,200.4,208.0,99.5,11191.0,5508600,0.15,2004,2004/05,7.599999999999994,0
2004/05,region,london,,,,,,7432700,0.13,2004,2004/05,,0
2004/05,region,london,233.5,229.6,237.4,113.8,14003.0,7432700,0.12,2004,2004/05,7.800000000000011,0
2004/05,region,london,253.2,249.2,257.3,123.5,15190.0,7432700,0.11,2004,2004/05,8.100000000000023,0
2004/05,region,london,237.3,233.4,241.2,115.7,14231.0,7432700,0.16,2004,2004/05,7.799999999999983,0
2004/05,region,london,,,,,,7432700,0.15,2004,2004/05,,0
2004/05,region,north east,1130.4,1117.3,1143.7,137.8,28127.0,2540500,0.13,2004,2004/05,26.40000000000009,0
2004/05,region,north east,285.4,278.8,292.1,139.1,7100.0,2540500,0.12,2004,2004/05,13.300000000000011,0
2004/05,region,north east,299.4,292.7,306.3,146.0,7450.0,2540500,0.11,2004,2004/05,13.600000000000023,0
2004/05,region,north east,274.7,268.2,281.3,133.9,6835.0,2540500,0.16,2004,2004/05,13.100000000000023,0
2004/05,region,north east,271.0,264.5,277.5,132.1,6742.0,2540500,0.15,2004,2004/05,13.0,0
2004/05,region,north west,1158.3,1150.1,1166.5,141.2,76153.0,6840400,0.13,2004,2004/05,16.40000000000009,0
2004/05,region,north west,285.9,281.9,290.1,139.4,18800.0,6840400,0.12,2004,2004/05,8.200000000000045,0
2004/05,region,north west,307.9,303.6,312.1,150.1,20240.0,6840400,0.11,2004,2004/05,8.5,0
2004/05,region,north west,282.3,278.3,286.4,137.6,18561.0,6840400,0.16,2004,2004/05,8.099999999999966,0
2004/05,region,north west,282.2,278.1,286.3,137.6,18552.0,6840400,0.15,2004,2004/05,8.199999999999989,0
2004/05,region,south east,739.0,733.1,745.0,90.1,59642.0,8133100,0.13,2004,2004/05,11.899999999999977,0
2004/05,region,south east,180.3,177.4,183.3,87.9,14552.0,8133100,0.12,2004,2004/05,5.900000000000006,0
2004/05,region,south east,199.7,196.7,202.8,97.4,16119.0,8133100,0.11,2004,2004/05,6.100000000000023,0
2004/05,region,south east,176.4,173.5,179.3,86.0,14235.0,8133100,0.16,2004,2004/05,5.800000000000011,0
2004/05,region,south east,182.6,179.7,185.6,89.0,14736.0,8133100,0.15,2004,2004/05,5.900000000000006,0
2004/05,region,south west,,,,,,5038300,0.13,2004,2004/05,,0
2004/05,region,south west,207.2,203.4,211.1,101.0,11229.0,5038300,0.12,2004,2004/05,7.699999999999989,0
2004/05,region,south west,209.9,206.0,213.8,102.3,11372.0,5038300,0.11,2004,2004/05,7.800000000000011,0
2004/05,region,south west,182.8,179.2,186.4,89.1,9903.0,5038300,0.16,2004,2004/05,7.200000000000017,0
2004/05,region,south west,,,,,,5038300,0.15,2004,2004/05,,0
2004/05,region,west midlands,945.0,936.7,953.5,115.2,48890.0,5346400,0.13,2004,2004/05,16.799999999999955,0
2004/05,region,west midlands,240.5,236.3,244.8,117.3,12442.0,5346400,0.12,2004,2004/05,8.5,0
2004/05,region,west midlands,249.1,244.8,253.5,121.5,12888.0,5346400,0.11,2004,2004/05,8.699999999999989,0
2004/05,region,west midlands,224.8,220.8,228.9,109.6,11631.0,5346400,0.16,2004,2004/05,8.099999999999994,0
2004/05,region,west midlands,230.6,226.5,234.8,112.4,11929.0,5346400,0.15,2004,2004/05,8.300000000000011,0
2004/05,region,yorkshire and the humber,1086.8,1077.6,1096.1,132.5,53111.0,5063200,0.13,2004,2004/05,18.5,0
2004/05,region,yorkshire and the humber,252.0,247.5,256.4,122.8,12313.0,5063200,0.12,2004,2004/05,8.899999999999977,0
2004/05,region,yorkshire and the humber,293.4,288.6,298.2,143.0,14337.0,5063200,0.11,2004,2004/05,9.599999999999966,0
2004/05,region,yorkshire and the humber,274.5,269.9,279.2,133.8,13414.0,5063200,0.16,2004,2004/05,9.300000000000011,0
2004/05,region,yorkshire and the humber,267.0,262.4,271.6,130.2,13047.0,5063200,0.15,2004,2004/05,9.200000000000045,0
2005/06,region,east midlands,918.1,909.0,927.3,111.9,38883.0,4329100,0.15,2005,2005/06,18.299999999999955,0
2005/06,region,east midlands,222.5,218.0,227.0,108.5,9422.0,4329100,0.16,2005,2005/06,9.0,0
2005/06,region,east midlands,241.2,236.5,245.9,117.6,10215.0,4329100,0.14,2005,2005/06,9.400000000000006,0
2005/06,region,east midlands,218.1,213.6,222.5,106.3,9235.0,4329100,0.18,2005,2005/06,8.900000000000006,0
2005/06,region,east midlands,236.4,231.8,241.1,115.2,10011.0,4329100,0.14,2005,2005/06,9.299999999999983,0
2005/06,region,east of england,808.1,800.6,815.6,98.5,44932.0,5562700,0.15,2005,2005/06,15.0,0
2005/06,region,east of england,199.2,195.5,202.9,97.1,11075.0,5562700,0.16,2005,2005/06,7.400000000000006,0
2005/06,region,east of england,211.9,208.0,215.7,103.3,11780.0,5562700,0.14,2005,2005/06,7.699999999999989,0
2005/06,region,east of england,193.5,189.9,197.2,94.4,10762.0,5562700,0.18,2005,2005/06,7.299999999999983,0
2005/06,region,east of england,203.5,199.8,207.3,99.2,11315.0,5562700,0.14,2005,2005/06,7.5,0
2005/06,region,london,943.7,936.0,951.5,115.0,57033.0,7519000,0.15,2005,2005/06,15.5,0
2005/06,region,london,,,,,,7519000,0.16,2005,2005/06,,0
2005/06,region,london,,,,,,7519000,0.14,2005,2005/06,,0
2005/06,region,london,226.6,222.8,230.4,110.5,13694.0,7519000,0.18,2005,2005/06,7.599999999999994,0
2005/06,region,london,241.7,237.8,245.7,117.8,14608.0,7519000,0.14,2005,2005/06,7.899999999999977,0
2005/06,region,north east,1092.1,1079.2,1105.1,133.1,27387.0,2547100,0.15,2005,2005/06,25.899999999999864,0
2005/06,region,north east,275.0,268.6,281.6,134.1,6897.0,2547100,0.16,2005,2005/06,13.0,0
2005/06,region,north east,275.9,269.4,282.4,134.5,6918.0,2547100,0.14,2005,2005/06,13.0,0
2005/06,region,north east,261.2,254.9,267.6,127.3,6549.0,2547100,0.18,2005,2005/06,12.700000000000017,0
2005/06,region,north east,280.1,273.5,286.7,136.5,7023.0,2547100,0.14,2005,2005/06,13.199999999999989,0
2005/06,region,north west,1121.7,1113.7,1129.8,136.7,74317.0,6870000,0.15,2005,2005/06,16.09999999999991,0
2005/06,region,north west,276.7,272.7,280.7,134.9,18329.0,6870000,0.16,2005,2005/06,8.0,0
2005/06,region,north west,299.8,295.6,304.0,146.2,19862.0,6870000,0.14,2005,2005/06,8.399999999999977,0
2005/06,region,north west,262.6,258.7,266.6,128.0,17400.0,6870000,0.18,2005,2005/06,7.900000000000034,0
2005/06,region,north west,282.7,278.6,286.7,137.8,18726.0,6870000,0.14,2005,2005/06,8.099999999999966,0
2005/06,region,south east,733.8,728.0,739.7,89.4,59936.0,8202900,0.15,2005,2005/06,11.700000000000045,0
2005/06,region,south east,181.0,178.1,184.0,88.3,14787.0,8202900,0.16,2005,2005/06,5.900000000000006,0
2005/06,region,south east,189.9,186.9,192.9,92.6,15509.0,8202900,0.14,2005,2005/06,6.0,0
2005/06,region,south east,172.7,169.8,175.5,84.2,14102.0,8202900,0.18,2005,2005/06,5.699999999999989,0
2005/06,region,south east,190.2,187.3,193.3,92.7,15538.0,8202900,0.14,2005,2005/06,6.0,0
2005/06,region,south west,756.4,749.1,763.7,92.2,41467.0,5086100,0.15,2005,2005/06,14.600000000000023,0
2005/06,region,south west,,,,,,5086100,0.16,2005,2005/06,,0
2005/06,region,south west,,,,,,5086100,0.14,2005,2005/06,,0
2005/06,region,south west,181.1,177.5,184.7,88.3,9928.0,5086100,0.18,2005,2005/06,7.199999999999989,0
2005/06,region,south west,195.4,191.7,199.1,95.2,10710.0,5086100,0.14,2005,2005/06,7.400000000000006,0
2005/06,region,west midlands,918.0,909.8,926.3,111.9,47973.0,5380700,0.15,2005,2005/06,16.5,0
2005/06,region,west midlands,229.6,225.5,233.8,112.0,12000.0,5380700,0.16,2005,2005/06,8.300000000000011,0
2005/06,region,west midlands,239.5,235.3,243.7,116.7,12514.0,5380700,0.14,2005,2005/06,8.399999999999977,0
2005/06,region,west midlands,213.1,209.2,217.1,103.9,11136.0,5380700,0.18,2005,2005/06,7.900000000000006,0
2005/06,region,west midlands,235.8,231.7,240.0,115.0,12323.0,5380700,0.14,2005,2005/06,8.300000000000011,0
2005/06,region,yorkshire and the humber,1044.0,1035.0,1053.1,127.3,51543.0,5108400,0.15,2005,2005/06,18.09999999999991,0
2005/06,region,yorkshire and the humber,250.8,246.4,255.2,122.3,12381.0,5108400,0.16,2005,2005/06,8.799999999999983,0
2005/06,region,yorkshire and the humber,273.1,268.5,277.7,133.1,13482.0,5108400,0.14,2005,2005/06,9.199999999999989,0
2005/06,region,yorkshire and the humber,248.1,243.7,252.5,120.9,12246.0,5108400,0.18,2005,2005/06,8.800000000000011,0
2005/06,region,yorkshire and the humber,272.1,267.5,276.8,132.7,13434.0,5108400,0.14,2005,2005/06,9.300000000000011,0
2006/07,region,east midlands,881.1,872.2,890.0,107.4,37804.0,4366700,0.13,2006,2006/07,17.799999999999955,0
2006/07,region,east midlands,222.2,217.7,226.7,108.3,9533.0,4366700,0.1,2006,2006/07,9.0,0
2006/07,region,east midlands,226.4,221.9,230.9,110.4,9712.0,4366700,0.13,2006,2006/07,9.0,0
2006/07,region,east midlands,206.6,202.3,211.0,100.7,8865.0,4366700,0.15,2006,2006/07,8.699999999999989,0
2006/07,region,east midlands,225.9,221.5,230.5,110.2,9694.0,4366700,0.14,2006,2006/07,9.0,0
2006/07,region,east of england,787.0,779.7,794.3,95.9,44337.0,5606300,0.13,2006,2006/07,14.599999999999909,0
2006/07,region,east of england,203.6,199.9,207.3,99.2,11469.0,5606300,0.1,2006,2006/07,7.400000000000006,0
2006/07,region,east of england,201.4,197.8,205.2,98.2,11349.0,5606300,0.13,2006,2006/07,7.399999999999977,0
